import time: self [us] | cumulative | imported package
import time:       781 |      11771 |       importlib.metadata
import time:       340 |        340 |                   numpy.version
import time:       307 |        307 |                   numpy._expired_attrs_2_0
import time:       167 |        167 |                       numpy._utils._conversions
import time:       197 |        364 |                     numpy._utils
import time:       260 |        623 |                   numpy._globals
import time:        22 |         22 |                     numpy._distributor_init_local
import time:       163 |        185 |                   numpy._distributor_init
import time:       347 |        347 |                             numpy.exceptions
import time:       382 |        382 |                             numpy._core._exceptions
import time:        18 |         18 |                                 _contextvars
import time:       189 |        207 |                               contextvars
import time:       175 |        382 |                             numpy._core.printoptions
import time:       217 |        217 |                             numpy.dtypes
import time:      3228 |       4554 |                           numpy._core._multiarray_umath
import time:       198 |        198 |                             numpy._utils._inspect
import time:       284 |        481 |                           numpy._core.overrides
import time:      1017 |       6052 |                         numpy._core.multiarray
import time:       265 |        265 |                         numpy._core.umath
import time:       302 |        302 |                           numbers
import time:       174 |        174 |                           numpy._core._string_helpers
import time:       290 |        290 |                           numpy._core._type_aliases
import time:       298 |       1063 |                         numpy._core.numerictypes
import time:       287 |        287 |                                     _compat_pickle
import time:        69 |         69 |                                     _pickle
import time:       741 |       1097 |                                   pickle
import time:       230 |       1326 |                                 numpy._core._methods
import time:       978 |       2304 |                               numpy._core.fromnumeric
import time:       295 |       2598 |                             numpy._core.shape_base
import time:       243 |        243 |                             numpy._core._ufunc_config
import time:       206 |        206 |                             numpy._core._asarray
import time:       493 |        493 |                             numpy._core.arrayprint
import time:       577 |       4116 |                           numpy._core.numeric
import time:       341 |       4456 |                         numpy._core.einsumfunc
import time:       264 |        264 |                         numpy._core.function_base
import time:       273 |        273 |                         numpy._core.getlimits
import time:       224 |        224 |                         numpy._core.memmap
import time:       317 |        317 |                         numpy._core.records
import time:      3854 |       3854 |                         numpy._core._add_newdocs
import time:       509 |        509 |                         numpy._core._add_newdocs_scalars
import time:       206 |        206 |                         numpy._core._dtype
import time:       228 |        228 |                         numpy._core._dtype_ctypes
import time:        76 |         76 |                             _ctypes
import time:       281 |        281 |                             ctypes._endian
import time:       620 |        976 |                           ctypes
import time:       617 |       1592 |                         numpy._core._internal
import time:       257 |        257 |                         numpy._pytesttester
import time:       470 |      20024 |                       numpy._core
import time:        75 |      20099 |                     numpy._core._multiarray_umath
import time:       260 |      20359 |                   numpy.__config__
import time:       455 |        455 |                                     numpy._typing._nbit_base
import time:       202 |        202 |                                     numpy._typing._nested_sequence
import time:       169 |        169 |                                     numpy._typing._shape
import time:       375 |       1199 |                                   numpy._typing._array_like
import time:       245 |        245 |                                   numpy._typing._char_codes
import time:       364 |        364 |                                   numpy._typing._dtype_like
import time:       225 |        225 |                                   numpy._typing._nbit
import time:       247 |        247 |                                   numpy._typing._scalars
import time:       149 |        149 |                                   numpy._typing._ufunc
import time:       217 |       2643 |                                 numpy._typing
import time:       152 |        152 |                                     numpy.lib._array_utils_impl
import time:       406 |        558 |                                   numpy.lib._stride_tricks_impl
import time:       305 |        863 |                                 numpy.lib._twodim_base_impl
import time:       112 |        112 |                                 numpy.lib.array_utils
import time:       829 |        829 |                                 numpy.linalg._umath_linalg
import time:       999 |       5443 |                               numpy.linalg._linalg
import time:       187 |       5630 |                             numpy.linalg
import time:       338 |       5967 |                           numpy.matrixlib.defmatrix
import time:       168 |       6135 |                         numpy.matrixlib
import time:       322 |        322 |                           numpy.lib._histograms_impl
import time:       683 |       1005 |                         numpy.lib._function_base_impl
import time:       375 |       7514 |                       numpy.lib._index_tricks_impl
import time:       313 |       7826 |                     numpy.lib._arraypad_impl
import time:       513 |        513 |                     numpy.lib._arraysetops_impl
import time:       204 |        204 |                     numpy.lib._arrayterator_impl
import time:      1803 |       1803 |                     numpy.lib._nanfunctions_impl
import time:        49 |         49 |                               _wmi
import time:       528 |        576 |                             platform
import time:       267 |        843 |                           numpy.lib._utils_impl
import time:       259 |       1101 |                         numpy.lib._format_impl
import time:       165 |       1265 |                       numpy.lib.format
import time:       272 |        272 |                       numpy.lib._datasource
import time:       340 |        340 |                       numpy.lib._iotools
import time:       561 |       2438 |                     numpy.lib._npyio_impl
import time:       283 |        283 |                         numpy.lib._ufunclike_impl
import time:       333 |        615 |                       numpy.lib._type_check_impl
import time:       460 |       1075 |                     numpy.lib._polynomial_impl
import time:       337 |        337 |                     numpy.lib._shape_base_impl
import time:       208 |        208 |                     numpy.lib._version
import time:       145 |        145 |                     numpy.lib.introspect
