import time: self [us] | cumulative | imported package
import time:       257 |        257 |                 xtal.ff.dftb.params
import time:      2200 |       2457 |               xtal.ff.dftb.hsd
import time:      1124 |       1124 |                 xtal.params
import time:       643 |       1766 |               xtal.ff.registry
import time:       470 |        470 |                     xtal.core.cellcut
import time:       170 |        170 |                     xtal.io.pdb
import time:       817 |        817 |                     xtal.modules.job
import time:      1192 |       1192 |                       xtal.modules.registry
import time:       941 |       2133 |                     xtal.modules.process
import time:       459 |       4048 |                   xtal.modules.blender
import time:       256 |        256 |                   xtal.modules.build
import time:       293 |        293 |                   xtal.modules.dftb
import time:       171 |        171 |                   xtal.modules.forcefield
import time:      4237 |       4237 |                     xtal.modules.report
import time:       259 |       4495 |                   xtal.modules.mof
import time:      3681 |       3681 |                         xtal.analysis.porosity
import time:       379 |        379 |                           gzip
import time:       266 |        266 |                                 _decimal
import time:       177 |        442 |                               decimal
import time:       923 |       1365 |                             fractions
import time:      1772 |       3136 |                           xtal.analysis.topology
import time:      1847 |       5361 |                         xtal.analysis.rcsr
import time:       193 |       9233 |                       xtal.analysis
import time:      1662 |       1662 |                       xtal.core.symmetry
import time:       252 |      11146 |                     xtal.build.topology
import time:       243 |      11389 |                   xtal.modules.net
import time:      1374 |       1374 |                     xtal.analysis.pxrd
import time:       325 |       1698 |                   xtal.modules.pxrd
import time:      1349 |       1349 |                     xtal.ff.coordinates
import time:      2111 |       2111 |                       xtal.ff.optimize
import time:       507 |        507 |                       xtal.ff.constraints
import time:      2076 |       4693 |                     xtal.ff.scan
import time:       747 |       6788 |                   xtal.modules.scan
import time:       559 |        559 |                   xtal.modules.zeopp
import time:       323 |      30016 |                 xtal.modules
import time:        15 |      30031 |               xtal.modules.process
import time:      1150 |      35402 |             xtal.ff.dftb.calculator
import time:       212 |      35613 |           xtal.ff.dftb
import time:        12 |      35625 |         xtal.ff.dftb.calculator
import time:       835 |        835 |             xtal.ff.mace.calculator
import time:       577 |       1412 |           xtal.ff.mace
import time:        14 |       1425 |         xtal.ff.mace.calculator
import time:       144 |        144 |           xtal.ff.uff
import time:      1302 |       1302 |             xtal.ff.uff.params
import time:       711 |       2012 |           xtal.ff.ewald
import time:      1722 |       1722 |           xtal.ff.uff.terms
import time:       231 |        231 |             xtal.ff.markers
import time:      1243 |       1473 |           xtal.ff.uff.typer
import time:      1090 |       6438 |         xtal.ff.uff.calculator
import time:       834 |        834 |             xtal.ff.xtb.calculator
import time:      1349 |       2182 |           xtal.ff.xtb
import time:        13 |       2195 |         xtal.ff.xtb.calculator
import time:       205 |      46591 |       xtal.ff
import time:        10 |      46601 |     xtal.ff.dftb
import time:       243 |        243 |     xtal.modules.dftb_runs
import time:       966 |        966 |       xtal.analysis.overlays
import time:      1800 |       1800 |       xtal.ff.dftb.outputs
import time:       550 |        550 |       xtal.io.cube
import time:       299 |        299 |       xtal.modules.dftb_runs.common
import time:       335 |       3948 |     xtal.modules.dftb_runs.electronic
import time:       255 |        255 |       xtal.modules.dftb_runs.driver
import time:       220 |        475 |     xtal.modules.dftb_runs.modes
import time:       831 |      52096 |   xtalapp.external
import time:       342 |        342 |       xtalapp.dialogs
import time:      1379 |       1720 |     xtalapp.dialogs.run_progress
import time:       668 |        668 |       xtalapp.docks
import time:      1740 |       1740 |       xtalapp.dialogs.module_form
import time:      1847 |       1847 |       xtalapp.plot
import time:       245 |        245 |         xtalapp.widgets
import time:      1449 |       1694 |       xtalapp.widgets.atom_types
import time:       425 |        425 |       xtalapp.workers
import time:      1673 |       8043 |     xtalapp.docks.ff_panel
import time:      1476 |       1476 |     xtalapp.docks.info
import time:       450 |        450 |     xtalapp.docks.inspector
import time:       846 |        846 |     xtalapp.docks.logview
import time:      1404 |       1404 |       xtal.core.measure
import time:      1481 |       2885 |     xtalapp.docks.measure
import time:      1835 |       1835 |     xtalapp.docks.modules
import time:       696 |        696 |     xtalapp.docks.move
import time:       252 |        252 |     xtalapp.docks.net
import time:       267 |        267 |         xtalapp.histogram
import time:       629 |        895 |       xtalapp.curve
import time:       240 |        240 |         xtalapp.dialogs.pattern
import time:       299 |        539 |       xtalapp.dialogs.landscape
import time:       337 |        337 |       xtalapp.heatmap
import time:       786 |       2555 |     xtalapp.docks.results
import time:       874 |        874 |     xtalapp.docks.sites
import time:       450 |        450 |       xtalapp.docks.columns
import time:       212 |        212 |       xtalapp.viewport
import time:      1009 |       1009 |       xtalapp.viewport.styles
import time:      3025 |       3025 |       xtalapp.viewport.scene
import time:      1058 |       1058 |       xtalapp.viewport.view_settings
import time:       925 |       6676 |     xtalapp.docks.style_panel
import time:       510 |        510 |       xtalapp.playback
import time:       338 |        848 |     xtalapp.docks.trajectory
import time:       292 |        292 |         filecmp
import time:      1589 |       1881 |       xtal.workspace
import time:       951 |        951 |       xtalapp.docks.filetree
import time:       621 |       3452 |     xtalapp.docks.workspace
import time:       656 |        656 |     xtalapp.settings
import time:      1711 |      34971 |   xtalapp.layout
import time:       614 |        614 |     xtalapp.samples
import time:       357 |        357 |       xtalapp.viewport.picking
import time:      1134 |       1491 |     xtalapp.viewport.modes
import time:      1407 |       3511 |   xtalapp.menus
import time:       389 |        389 |   xtalapp.actions
import time:       292 |        292 |     xtalapp.widgets.periodic_table
import time:       252 |        544 |   xtalapp.dialogs.add_atom
import time:       423 |        423 |   xtalapp.dialogs.add_centroid
import time:      1189 |       1189 |     xtal.ff.hydrogens
import time:       196 |       1385 |   xtalapp.dialogs.add_hydrogens
import time:       305 |        305 |   xtalapp.dialogs.bond_rules
import time:       327 |        327 |   xtalapp.dialogs.cell_edit
import time:       256 |        256 |   xtalapp.dialogs.display_range
import time:       238 |        238 |       xtal.analysis.grid
import time:       618 |        855 |     xtal.build.fill
import time:       282 |       1137 |   xtalapp.dialogs.fill_pores
import time:       481 |        481 |   xtalapp.dialogs.find_symmetry
import time:       779 |        779 |       html.entities
import time:       639 |       1417 |     html
import time:       748 |       2165 |   xtalapp.dialogs.help
import time:       379 |        379 |   xtalapp.dialogs.merge_duplicates
import time:      1341 |       1341 |       xtal.core.subgroups
import time:       337 |       1678 |     xtal.commands.symmetry
import time:       267 |       1944 |   xtalapp.dialogs.spacegroup
import time:       304 |        304 |   xtalapp.dialogs.subgroup
import time:       254 |        254 |       xtal.core.supercell
import time:       278 |        531 |     xtal.commands.cell
import time:       243 |        774 |   xtalapp.dialogs.supercell
import time:       365 |        365 |     xtal.commands.atoms
import time:       251 |        251 |     xtal.commands.connections
import time:       765 |        765 |     xtal.core.properties
import time:       605 |        605 |     xtal.core.selection
import time:       728 |       2711 |   xtalapp.document
import time:       310 |        310 |   xtalapp.documents
import time:       201 |        201 |     xtal.modules.record
import time:       302 |        502 |   xtalapp.module_runner
import time:      3814 |       3814 |       PySide6.QtSvg
import time:      5052 |       8866 |     xtalapp.dialogs.workspace_chooser
import time:       265 |       9130 |   xtalapp.workspace_shell
import time:     22859 |     450993 | xtalapp.mainwindow
